Datum,Warengruppe,Umsatz,KielerWoche,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode
2014-06-21,1,162.410672754329,1,6.0,15.5125,18,61.0
2014-06-22,1,99.6276132843513,1,5.0,15.7,19,
2014-06-23,1,130.997404965594,1,4.0,16.5,17,
2014-06-24,1,119.068455962972,1,7.0,14.3625,7,21.0
2014-06-25,1,114.248639971521,1,0.0,18.4375,10,
2014-06-26,1,139.644833904018,1,6.0,17.575,8,63.0
2014-06-27,1,149.199619823898,1,4.0,20.1625,7,95.0
2014-06-28,1,234.368963456298,1,6.0,16.9625,6,95.0
2014-06-29,1,99.024824945212,1,7.0,17.3125,8,61.0
2015-06-20,1,146.634813820399,1,5.0,17.125,13,
2015-06-21,1,77.1354317914719,1,6.0,15.75,6,
2015-06-22,1,135.938737758693,1,5.0,13.5,8,61.0
2015-06-23,1,122.481453982781,1,5.0,16.5,10,21.0
2015-06-24,1,128.059192073461,1,8.0,12.625,14,61.0
2015-06-25,1,178.518522583761,1,6.0,17.125,8,21.0
2015-06-26,1,148.837350354137,1,7.0,19.25,5,61.0
2015-06-27,1,169.797038127635,1,7.0,19.375,16,61.0
2015-06-28,1,77.928316055467,1,2.0,19.875,10,
2016-06-18,1,178.053503357419,1,6.0,18.0,12,21.0
2016-06-19,1,47.3015501376727,1,7.0,16.0,14,
2016-06-20,1,154.234328655126,1,4.0,20.875,10,61.0
2016-06-21,1,122.723468787436,1,4.0,19.875,9,
2016-06-22,1,98.8851882321757,1,5.0,22.125,9,61.0
2016-06-23,1,159.229870584471,1,5.0,27.875,8,
2016-06-24,1,146.028836187358,1,5.0,24.125,9,
2016-06-25,1,160.675602624552,1,7.0,18.25,14,95.0
2016-06-26,1,70.9661977461169,1,5.0,19.25,11,0.0
2017-06-17,1,152.587185601354,1,0.0,20.125,15,0.0
2017-06-18,1,75.1727854873289,1,2.0,24.25,9,
2017-06-19,1,146.631334543439,1,1.0,25.375,7,0.0
2017-06-20,1,127.815304326711,1,0.0,20.75,12,0.0
2017-06-21,1,120.022105971466,1,3.0,18.75,10,
2017-06-22,1,78.1688619382617,1,3.0,20.25,10,95.0
2017-06-23,1,160.591006007475,1,7.0,17.25,14,61.0
2017-06-24,1,213.304834757744,1,6.0,17.875,19,61.0
2017-06-25,1,69.3531645812572,1,7.0,17.25,16,20.0
2018-06-16,1,165.240825926878,1,5.0,21.325,7,95.0
2018-06-17,1,131.774736746731,1,5.0,18.275,12,61.0
2018-06-18,1,150.60898110442,1,7.0,17.6375,9,61.0
2018-06-19,1,134.103229549554,1,3.0,19.2375,16,21.0
2018-06-20,1,187.760363692391,1,3.0,23.65,13,0.0
2018-06-21,1,137.380800589863,1,7.0,11.5625,15,65.0
2018-06-22,1,173.94005241559,1,5.0,15.575,20,61.0
2018-06-23,1,228.688308197952,1,7.0,14.3,18,61.0
2018-06-24,1,96.8397776549712,1,6.0,16.2375,10,21.0
2014-06-21,2,691.302129885254,1,6.0,15.5125,18,61.0
2014-06-22,2,687.127455430513,1,5.0,15.7,19,
2014-06-23,2,511.714043984716,1,4.0,16.5,17,
2014-06-24,2,508.608322070437,1,7.0,14.3625,7,21.0
2014-06-25,2,517.169259136224,1,0.0,18.4375,10,
2014-06-26,2,583.733870024269,1,6.0,17.575,8,63.0
2014-06-27,2,595.204307059367,1,4.0,20.1625,7,95.0
2014-06-28,2,861.858616856627,1,6.0,16.9625,6,95.0
2014-06-29,2,770.70069957598,1,7.0,17.3125,8,61.0
2015-06-20,2,571.278131371528,1,5.0,17.125,13,
2015-06-21,2,553.599170821681,1,6.0,15.75,6,
2015-06-22,2,412.309330067662,1,5.0,13.5,8,61.0
2015-06-23,2,423.1358501964,1,5.0,16.5,10,21.0
2015-06-24,2,479.943327331225,1,8.0,12.625,14,61.0
2015-06-25,2,484.513720535521,1,6.0,17.125,8,21.0
2015-06-26,2,517.667163948615,1,7.0,19.25,5,61.0
2015-06-27,2,708.700690129254,1,7.0,19.375,16,61.0
